filename,xmin,ymin,xmax,ymax,has_liquid,liquid_level,liquid_class,pose,liquid_type,source
coco_IMG_20250401_150634_jpg.rf.4wrRW10iXbIt6JRqz2Tr.jpg,651,544,1126,1124,1,medium,2,unknown,water,coco:coco:IMG_20250401_150634_jpg.rf.4wrRW10iXbIt6JRqz2Tr.jpg
coco_IMG_20250401_152607_jpg.rf.3ldykeU9Lqj3xfU8yJOG.jpg,435,468,948,1099,1,small,1,unknown,water,coco:coco:IMG_20250401_152607_jpg.rf.3ldykeU9Lqj3xfU8yJOG.jpg
coco_IMG_20250401_152439_jpg.rf.58oC5GMn6ty993kDsX5Q.jpg,327,148,1044,1151,1,medium,2,unknown,water,coco:coco:IMG_20250401_152439_jpg.rf.58oC5GMn6ty993kDsX5Q.jpg
coco_IMG_20250401_150253_jpg.rf.5FfoJTiL70u7iIxu2zQa.jpg,330,306,911,1156,1,small,1,unknown,water,coco:coco:IMG_20250401_150253_jpg.rf.5FfoJTiL70u7iIxu2zQa.jpg
coco_IMG_20250401_155417_jpg.rf.3vxnaoi9SyRaKgxcUVIb.jpg,450,455,1066,1354,1,medium,2,unknown,water,coco:coco:IMG_20250401_155417_jpg.rf.3vxnaoi9SyRaKgxcUVIb.jpg
coco_IMG_20250401_150540_jpg.rf.GEaZ6AbLBvw2rIeZ4ZmY.jpg,326,663,838,1295,0,none,0,unknown,none,coco:coco:IMG_20250401_150540_jpg.rf.GEaZ6AbLBvw2rIeZ4ZmY.jpg
coco_IMG_20250401_163702_jpg.rf.5c21qgOJ3TWgStXNZGqL.jpg,375,230,970,1126,1,medium,2,unknown,water,coco:coco:IMG_20250401_163702_jpg.rf.5c21qgOJ3TWgStXNZGqL.jpg
coco_IMG_20250401_163852_jpg.rf.3th8FJU0rkZw5tUScf7z.jpg,451,434,998,1101,1,medium,2,unknown,water,coco:coco:IMG_20250401_163852_jpg.rf.3th8FJU0rkZw5tUScf7z.jpg
coco_IMG_20250401_152028_jpg.rf.GhPgnfiXrtW40FuH2PLz.jpg,395,422,1042,1307,0,none,0,unknown,none,coco:coco:IMG_20250401_152028_jpg.rf.GhPgnfiXrtW40FuH2PLz.jpg
coco_IMG_20250401_160559_jpg.rf.3shLUPwwHhHiKHfp8Ud7.jpg,401,289,971,1166,0,none,0,unknown,none,coco:coco:IMG_20250401_160559_jpg.rf.3shLUPwwHhHiKHfp8Ud7.jpg
coco_IMG_20250401_150136_jpg.rf.GDCkea4FsXyOUkDsILYm.jpg,674,502,1269,1212,1,medium,2,unknown,water,coco:coco:IMG_20250401_150136_jpg.rf.GDCkea4FsXyOUkDsILYm.jpg
coco_IMG_20250401_145644_jpg.rf.GoDClYL53TnuHUCscF24.jpg,536,419,1039,1155,1,small,1,unknown,water,coco:coco:IMG_20250401_145644_jpg.rf.GoDClYL53TnuHUCscF24.jpg
coco_IMG_20250401_155708_jpg.rf.WrMZP8xCALSfFcS5JH0B.jpg,354,322,1038,1122,1,medium,2,unknown,water,coco:coco:IMG_20250401_155708_jpg.rf.WrMZP8xCALSfFcS5JH0B.jpg
