epoch,train_loss,train_acc,val_loss,val_acc,val_precision_macro,val_recall_macro,val_f1_macro
1,1.240706,0.443350,1.252371,0.534884,0.133721,0.250000,0.174242
2,1.138321,0.527094,1.135137,0.511628,0.289773,0.287772,0.273810
3,1.088785,0.546798,1.280508,0.302326,0.227477,0.268478,0.164710
4,1.046070,0.546798,1.176825,0.534884,0.235222,0.306522,0.266026
5,1.013477,0.571429,1.153088,0.534884,0.238158,0.278261,0.238798
6,0.996141,0.591133,1.133514,0.534884,0.459559,0.298641,0.286550
7,0.980032,0.605911,1.172266,0.581395,0.397436,0.306250,0.277151
8,0.940149,0.571429,1.165596,0.558140,0.265244,0.281250,0.229687
9,0.921324,0.630542,1.099700,0.534884,0.233333,0.290761,0.252463
10,0.881653,0.645320,1.114660,0.558140,0.336149,0.295380,0.269048
11,0.841952,0.679803,1.237174,0.534884,0.228070,0.270380,0.225782
12,0.895165,0.600985,1.117342,0.581395,0.264286,0.332880,0.289655
13,0.882799,0.650246,1.132845,0.534884,0.234848,0.311141,0.266807
14,0.854969,0.655172,1.072264,0.581395,0.264286,0.332880,0.289655
15,0.799507,0.684729,1.102247,0.511628,0.327381,0.314402,0.314863
16,0.903705,0.610837,1.087215,0.534884,0.312603,0.325272,0.313942
17,0.847813,0.640394,1.084871,0.534884,0.323214,0.345652,0.323296
18,0.879831,0.620690,1.088320,0.581395,0.346591,0.347011,0.330357
19,0.824200,0.655172,1.086251,0.534884,0.331845,0.339402,0.332574
20,0.764182,0.714286,1.131166,0.534884,0.286290,0.311141,0.292328
21,0.801782,0.679803,1.101487,0.581395,0.268908,0.332880,0.292982
22,0.724480,0.733990,1.206800,0.581395,0.302778,0.332880,0.301825
23,0.799953,0.669951,1.137107,0.581395,0.282143,0.332880,0.296798
24,0.811773,0.689655,1.201806,0.441860,0.348684,0.317935,0.312397
25,0.794685,0.655172,1.278820,0.534884,0.529830,0.369293,0.356838
26,0.753549,0.669951,1.230118,0.511628,0.431469,0.485054,0.445482
27,0.751231,0.714286,1.124867,0.581395,0.397863,0.403533,0.399899
28,0.732100,0.724138,1.186478,0.511628,0.330460,0.287772,0.290647
29,0.764659,0.689655,1.160867,0.581395,0.372396,0.334511,0.319856
30,0.701665,0.753695,1.247401,0.558140,0.516892,0.309511,0.301984
