epoch,train_loss,train_acc,val_loss,val_acc,val_precision_macro,val_recall_macro,val_f1_macro
1,1.186099,0.452160,0.960705,0.611511,0.542036,0.516721,0.507790
2,0.966472,0.608025,0.845011,0.611511,0.584583,0.597944,0.526328
3,0.861608,0.655864,0.819976,0.647482,0.614430,0.594670,0.555356
4,0.873416,0.646605,0.765648,0.669065,0.635997,0.646483,0.593471
5,0.761236,0.709877,0.696356,0.705036,0.687230,0.597835,0.598835
6,0.775103,0.726852,0.665187,0.733813,0.560682,0.573810,0.562346
7,0.771949,0.694444,0.674097,0.733813,0.663271,0.697430,0.670651
8,0.814742,0.677469,0.797021,0.654676,0.513017,0.530357,0.478037
9,0.768489,0.703704,0.696475,0.712230,0.658951,0.638474,0.634667
10,0.740251,0.705247,0.699614,0.705036,0.529221,0.566558,0.531799
11,0.754337,0.679012,0.725814,0.683453,0.671561,0.621483,0.611900
12,0.743557,0.699074,0.625386,0.726619,0.688194,0.636715,0.649517
13,0.741068,0.702160,0.715127,0.712230,0.694293,0.649134,0.639506
14,0.709889,0.714506,0.637541,0.726619,0.686621,0.637581,0.645426
15,0.723794,0.723765,0.665414,0.741007,0.710323,0.689773,0.679910
16,0.741377,0.709877,0.810104,0.697842,0.730489,0.622321,0.613344
17,0.676212,0.726852,0.650356,0.712230,0.772596,0.611688,0.620994
18,0.695738,0.714506,0.729824,0.690647,0.686483,0.704194,0.633466
19,0.686407,0.723765,0.660315,0.733813,0.702529,0.629600,0.648735
20,0.694759,0.737654,0.672556,0.726619,0.736142,0.661228,0.674958
21,0.702760,0.716049,0.662511,0.741007,0.694316,0.688041,0.689732
22,0.711354,0.716049,0.673080,0.741007,0.743176,0.658956,0.664431
23,0.690612,0.728395,0.659587,0.762590,0.766375,0.674729,0.699827
24,0.716565,0.702160,0.651240,0.741007,0.688465,0.673350,0.671899
25,0.684874,0.714506,0.662531,0.741007,0.700767,0.677706,0.674277
26,0.727191,0.702160,0.629580,0.748201,0.693548,0.693831,0.688300
27,0.640223,0.753086,0.672983,0.719424,0.683311,0.672808,0.660380
28,0.678641,0.726852,0.710405,0.705036,0.686655,0.663880,0.655379
29,0.676989,0.733025,0.665681,0.726619,0.684667,0.662094,0.659896
30,0.665840,0.756173,0.685105,0.712230,0.667090,0.677760,0.649099
31,0.682410,0.729938,0.881915,0.683453,0.789350,0.574107,0.550249
