task,feature_set,n_features,model,accuracy,precision,recall,f1,auc,ap
binary,gray,52,svm_rbf_tuned,0.8709677419354839,0.9545454545454546,0.875,0.9130434782608695,0.9088921282798833,0.9576013081113893
binary,gray,52,rf_tuned,0.8940092165898618,0.9005524861878453,0.9702380952380952,0.9340974212034384,0.9236516034985423,0.9715039125323159
binary,gray,52,gbdt_tuned,0.847926267281106,0.8609625668449198,0.9583333333333334,0.9070422535211268,0.865524781341108,0.9367410732032189
binary,gray,52,xgboost_tuned,0.8663594470046083,0.8839779005524862,0.9523809523809523,0.9169054441260746,0.8706268221574344,0.934821633488713
binary,hsv,40,svm_rbf_tuned,0.8847926267281107,0.9281437125748503,0.9226190476190477,0.9253731343283582,0.8972303206997084,0.9584493602963986
binary,hsv,40,rf_tuned,0.8847926267281107,0.8783068783068783,0.9880952380952381,0.9299719887955182,0.9302721088435375,0.9732985473162954
binary,hsv,40,gbdt_tuned,0.8617511520737328,0.8709677419354839,0.9642857142857143,0.9152542372881356,0.8732993197278911,0.9384788896817035
binary,hsv,40,xgboost_tuned,0.8755760368663594,0.873015873015873,0.9821428571428571,0.9243697478991597,0.8808309037900874,0.9334073262355499
binary,stat_color_edge_line,140,svm_rbf_tuned,0.9308755760368663,0.9526627218934911,0.9583333333333334,0.9554896142433235,0.9444849368318756,0.9800635504444942
binary,stat_color_edge_line,140,rf_tuned,0.880184331797235,0.8776595744680851,0.9821428571428571,0.9269662921348315,0.9323979591836735,0.9766063061514211
binary,stat_color_edge_line,140,gbdt_tuned,0.8617511520737328,0.8791208791208791,0.9523809523809523,0.9142857142857143,0.9203109815354712,0.974215919911288
binary,stat_color_edge_line,140,xgboost_tuned,0.8847926267281107,0.8950276243093923,0.9642857142857143,0.9283667621776505,0.9067055393586007,0.9580303865247923
binary,stat_color_edge_line_f_classif_k64,64,svm_rbf_tuned,0.880184331797235,0.9329268292682927,0.9107142857142857,0.9216867469879518,0.9222546161321671,0.9746533567049475
binary,stat_color_edge_line_f_classif_k64,64,rf_tuned,0.8617511520737328,0.8791208791208791,0.9523809523809523,0.9142857142857143,0.9326409135082604,0.9785154398028939
binary,stat_color_edge_line_f_classif_k64,64,gbdt_tuned,0.8617511520737328,0.8920454545454546,0.9345238095238095,0.9127906976744186,0.9077988338192421,0.953637085299106
binary,stat_color_edge_line_f_classif_k64,64,xgboost_tuned,0.8663594470046083,0.9017341040462428,0.9285714285714286,0.9149560117302052,0.9001457725947521,0.9554965028946388
binary,stat_color_edge_line_f_classif_k128,128,svm_rbf_tuned,0.9216589861751152,0.9467455621301775,0.9523809523809523,0.9495548961424333,0.9480077745383868,0.9823715796578893
binary,stat_color_edge_line_f_classif_k128,128,rf_tuned,0.8847926267281107,0.8864864864864865,0.9761904761904762,0.9291784702549575,0.9365281827016522,0.978889949155053
binary,stat_color_edge_line_f_classif_k128,128,gbdt_tuned,0.8663594470046083,0.8839779005524862,0.9523809523809523,0.9169054441260746,0.9215257531584062,0.9745538216496588
binary,stat_color_edge_line_f_classif_k128,128,xgboost_tuned,0.8894009216589862,0.9,0.9642857142857143,0.9310344827586207,0.9054907677356657,0.9605553691128792
binary,stat_color_edge_line_mutual_info_k64,64,svm_rbf_tuned,0.880184331797235,0.9329268292682927,0.9107142857142857,0.9216867469879518,0.9016034985422741,0.9582531303012238
binary,stat_color_edge_line_mutual_info_k64,64,rf_tuned,0.8525345622119815,0.8655913978494624,0.9583333333333334,0.9096045197740112,0.9212220602526726,0.9724803926901049
binary,stat_color_edge_line_mutual_info_k64,64,gbdt_tuned,0.8663594470046083,0.8797814207650273,0.9583333333333334,0.9173789173789174,0.9007531584062197,0.9650707551162879
binary,stat_color_edge_line_mutual_info_k64,64,xgboost_tuned,0.8617511520737328,0.875,0.9583333333333334,0.9147727272727273,0.8836248785228377,0.9417427312404771
binary,stat_color_edge_line_mutual_info_k128,128,svm_rbf_tuned,0.9216589861751152,0.9415204678362573,0.9583333333333334,0.9498525073746312,0.9425413022351797,0.9779368394229953
binary,stat_color_edge_line_mutual_info_k128,128,rf_tuned,0.8755760368663594,0.8770053475935828,0.9761904761904762,0.923943661971831,0.9306365403304179,0.976051331722227
binary,stat_color_edge_line_mutual_info_k128,128,gbdt_tuned,0.8709677419354839,0.8846153846153846,0.9583333333333334,0.92,0.91921768707483,0.9730009384481235
binary,stat_color_edge_line_mutual_info_k128,128,xgboost_tuned,0.8940092165898618,0.9096045197740112,0.9583333333333334,0.9333333333333333,0.9018464528668609,0.9565399054426108
binary,stat_color_edge,131,svm_rbf_tuned,0.9124423963133641,0.9408284023668639,0.9464285714285714,0.9436201780415431,0.9446064139941691,0.9813123089474669
binary,stat_color_edge,131,rf_tuned,0.8940092165898618,0.8961748633879781,0.9761904761904762,0.9344729344729344,0.9362852283770652,0.9780112568029418
binary,stat_color_edge,131,gbdt_tuned,0.8709677419354839,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9159378036929058,0.9687613932929122
binary,stat_color_edge,131,xgboost_tuned,0.8847926267281107,0.903954802259887,0.9523809523809523,0.927536231884058,0.8988095238095238,0.9562013487734128
binary,stat_color_edge_f_classif_k64,64,svm_rbf_tuned,0.9124423963133641,0.9461077844311377,0.9404761904761905,0.9432835820895522,0.9306365403304179,0.9753863547337936
binary,stat_color_edge_f_classif_k64,64,rf_tuned,0.880184331797235,0.8901098901098901,0.9642857142857143,0.9257142857142857,0.9345238095238095,0.9784275208942916
binary,stat_color_edge_f_classif_k64,64,gbdt_tuned,0.8663594470046083,0.8971428571428571,0.9345238095238095,0.9154518950437318,0.908284742468416,0.9653450262890475
binary,stat_color_edge_f_classif_k64,64,xgboost_tuned,0.880184331797235,0.9080459770114943,0.9404761904761905,0.9239766081871345,0.9005102040816326,0.9580912068309724
binary,stat_color_edge_f_classif_k128,128,svm_rbf_tuned,0.9170506912442397,0.9411764705882353,0.9523809523809523,0.9467455621301775,0.94533527696793,0.98145703656901
binary,stat_color_edge_f_classif_k128,128,rf_tuned,0.8986175115207373,0.9010989010989011,0.9761904761904762,0.9371428571428572,0.937257045675413,0.9784054956019232
binary,stat_color_edge_f_classif_k128,128,gbdt_tuned,0.8709677419354839,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9164237123420798,0.9701174772000611
binary,stat_color_edge_f_classif_k128,128,xgboost_tuned,0.8847926267281107,0.9085714285714286,0.9464285714285714,0.9271137026239067,0.8994169096209912,0.9567443373476876
binary,all,2120,svm_rbf_tuned,0.8755760368663594,0.8810810810810811,0.9702380952380952,0.9235127478753541,0.9060981535471332,0.9578175538690583
binary,all,2120,rf_tuned,0.8571428571428571,0.8477157360406091,0.9940476190476191,0.915068493150685,0.910410592808552,0.9631749834227926
binary,all,2120,gbdt_tuned,0.8663594470046083,0.8716577540106952,0.9702380952380952,0.9183098591549296,0.9071914480077745,0.963108907904782
binary,all,2120,xgboost_tuned,0.8986175115207373,0.9010989010989011,0.9761904761904762,0.9371428571428572,0.9031827016520894,0.9598288349637034
binary,all_f_classif_k64,64,svm_rbf_tuned,0.8709677419354839,0.8977272727272727,0.9404761904761905,0.9186046511627907,0.8978377065111759,0.9634451404984299
binary,all_f_classif_k64,64,rf_tuned,0.880184331797235,0.8944444444444445,0.9583333333333334,0.9252873563218391,0.9123542274052479,0.971481304355768
