task,candidate,feature_set,selector,n_features,svm_weight,xgb_weight,accuracy,precision,recall,f1,auc,ap
binary,stat_color_edge_raw_svm0.25_xgb0.75,stat_color_edge,raw,131,0.25,0.75,0.8986175115207373,0.9101123595505618,0.9642857142857143,0.9364161849710982,0.9222546161321672,0.9709876046995142
binary,stat_color_edge_raw_svm0.40_xgb0.60,stat_color_edge,raw,131,0.4,0.6,0.9170506912442397,0.9261363636363636,0.9702380952380952,0.9476744186046512,0.9301506316812439,0.9742215037052425
binary,stat_color_edge_raw_svm0.50_xgb0.50,stat_color_edge,raw,131,0.5,0.5,0.9262672811059908,0.9269662921348315,0.9821428571428571,0.953757225433526,0.9339164237123421,0.9758285416251534
binary,stat_color_edge_raw_svm0.60_xgb0.40,stat_color_edge,raw,131,0.6,0.4,0.9170506912442397,0.9261363636363636,0.9702380952380952,0.9476744186046512,0.9352526724975705,0.9763501807700647
binary,stat_color_edge_raw_svm0.75_xgb0.25,stat_color_edge,raw,131,0.75,0.25,0.9170506912442397,0.9261363636363636,0.9702380952380952,0.9476744186046512,0.9390184645286687,0.9783053913106233
binary,stat_color_edge_f_classif_k96_svm0.25_xgb0.75,stat_color_edge,f_classif_k96,96,0.25,0.75,0.9078341013824884,0.9157303370786517,0.9702380952380952,0.9421965317919075,0.9255344995140914,0.9719859032269843
binary,stat_color_edge_f_classif_k96_svm0.40_xgb0.60,stat_color_edge,f_classif_k96,96,0.4,0.6,0.9124423963133641,0.9162011173184358,0.9761904761904762,0.9452449567723343,0.9339164237123421,0.9753850143078566
binary,stat_color_edge_f_classif_k96_svm0.50_xgb0.50,stat_color_edge,f_classif_k96,96,0.5,0.5,0.9262672811059908,0.9269662921348315,0.9821428571428571,0.953757225433526,0.9364674441205054,0.9765728694136335
binary,stat_color_edge_f_classif_k96_svm0.60_xgb0.40,stat_color_edge,f_classif_k96,96,0.6,0.4,0.9262672811059908,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9382896015549077,0.9776280843372884
binary,stat_color_edge_f_classif_k96_svm0.75_xgb0.25,stat_color_edge,f_classif_k96,96,0.75,0.25,0.9308755760368663,0.9371428571428572,0.9761904761904762,0.956268221574344,0.9388969873663752,0.978376958687752
binary,stat_color_edge_f_classif_k128_svm0.25_xgb0.75,stat_color_edge,f_classif_k128,128,0.25,0.75,0.8940092165898618,0.9096045197740112,0.9583333333333334,0.9333333333333333,0.9220116618075801,0.9704659668548412
binary,stat_color_edge_f_classif_k128_svm0.40_xgb0.60,stat_color_edge,f_classif_k128,128,0.4,0.6,0.9124423963133641,0.9209039548022598,0.9702380952380952,0.9449275362318841,0.9296647230320699,0.9737238672279971
binary,stat_color_edge_f_classif_k128_svm0.50_xgb0.50,stat_color_edge,f_classif_k128,128,0.5,0.5,0.9262672811059908,0.9269662921348315,0.9821428571428571,0.953757225433526,0.9335519922254617,0.9752593254257529
binary,stat_color_edge_f_classif_k128_svm0.60_xgb0.40,stat_color_edge,f_classif_k128,128,0.6,0.4,0.9216589861751152,0.9265536723163842,0.9761904761904762,0.9507246376811594,0.9347667638483965,0.9757654169312974
binary,stat_color_edge_f_classif_k128_svm0.75_xgb0.25,stat_color_edge,f_classif_k128,128,0.75,0.25,0.9262672811059908,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9374392614188533,0.9773540022157823
binary,stat_color_edge_line_raw_svm0.25_xgb0.75,stat_color_edge_line,raw,140,0.25,0.75,0.8986175115207373,0.9055555555555556,0.9702380952380952,0.9367816091954023,0.9295432458697765,0.9738212191759116
