task,feature_set,accuracy,precision,recall,f1,auc,ap,macro_f1,weighted_f1
binary,gray,0.880184331797235,0.9034090909090909,0.9464285714285714,0.9244186046511628,0.9212827988338191,0.9721622278631408,,
level,gray,0.7142857142857143,,,,,,0.6603537603103324,0.7092016917091164
binary,hsv,0.8986175115207373,0.8967391304347826,0.9821428571428571,0.9375,0.9246841593780369,0.9679449964623414,,
level,hsv,0.7327188940092166,,,,,,0.708175389570912,0.7335774425002687
binary,edge,0.8755760368663594,0.8852459016393442,0.9642857142857143,0.9230769230769231,0.8941933916423712,0.9657176713954698,,
level,edge,0.6589861751152074,,,,,,0.632876504289865,0.6591008820156969
binary,line,0.7695852534562212,0.8138297872340425,0.9107142857142857,0.8595505617977528,0.7499999999999999,0.9079026840241922,,
level,line,0.5852534562211982,,,,,,0.5356195586417317,0.575326346043568
binary,adaptive_line,0.7788018433179723,0.8191489361702128,0.9166666666666666,0.8651685393258427,0.8028425655976676,0.9323800131700801,,
level,adaptive_line,0.511520737327189,,,,,,0.4494385342789598,0.49424453377782135
binary,grid,0.8894009216589862,0.8956043956043956,0.9702380952380952,0.9314285714285714,0.9293002915451896,0.9743585726395032,,
level,grid,0.7050691244239631,,,,,,0.6675681818181818,0.7005869291998325
binary,hog,0.8617511520737328,0.8556701030927835,0.9880952380952381,0.9171270718232044,0.896622934888241,0.9587770585058865,,
level,hog,0.663594470046083,,,,,,0.5440281851734404,0.6226680264315099
binary,stat_color_edge_line,0.8755760368663594,0.8895027624309392,0.9583333333333334,0.9226361031518625,0.9305150631681244,0.9772472066108284,,
level,stat_color_edge_line,0.7603686635944701,,,,,,0.7265880623063234,0.7586489858150995
binary,low_dim_all,0.8847926267281107,0.8907103825136612,0.9702380952380952,0.9287749287749287,0.9288143828960156,0.9758686785531128,,
level,low_dim_all,0.7603686635944701,,,,,,0.7300430857180824,0.756119922946228
binary,all,0.8709677419354839,0.8723404255319149,0.9761904761904762,0.9213483146067416,0.9165451895043731,0.968883407795261,,
level,all,0.728110599078341,,,,,,0.6596834319526627,0.7098222670629619
