task,method,candidate,n_features,base_features,selector_param,accuracy,macro_f1,weighted_f1,ranker,cv_score
level,pca,pca_all_32,2120,all,32,0.6866359447004609,0.6459671407515553,0.6877494822510467,,
level,pca,pca_all_64,2120,all,64,0.7235023041474654,0.6799028749028749,0.7208418105192299,,
level,pca,pca_all_96,2120,all,96,0.728110599078341,0.6931347710149554,0.7284230956596052,,
level,pca,pca_all_128,2120,all,128,0.7050691244239631,0.6641634730297659,0.7020937751177807,,
level,pca,pca_stat_color_edge_line_32,140,stat_color_edge_line,32,0.7235023041474654,0.7010942479326554,0.7292447363244586,,
level,pca,pca_stat_color_edge_line_64,140,stat_color_edge_line,64,0.7695852534562212,0.7531621227866414,0.7733003549674455,,
level,pca,pca_stat_color_edge_line_96,140,stat_color_edge_line,96,0.7695852534562212,0.7558621836353179,0.7734834011257653,,
level,pca,pca_stat_color_edge_line_128,140,stat_color_edge_line,128,0.7695852534562212,0.7558621836353179,0.7734834011257653,,
level,rfecv,rfecv_stat_color_edge_66,66,stat_color_edge,66,0.7004608294930875,0.6957213652939264,0.7061894362677913,,
level,rfecv,rfecv_stat_color_edge_line_70,70,stat_color_edge_line,70,0.7188940092165899,0.7086539354580591,0.7260257695907846,,
level,importance,rf_importance_all_top64,64,all,64,0.6589861751152074,0.6346469622331692,0.66128805248462,rf_importance,
level,importance,rf_importance_all_top96,96,all,96,0.6728110599078341,0.6250302277879736,0.6731982999605487,rf_importance,
level,importance,rf_importance_all_top128,128,all,128,0.695852534562212,0.6550007114203025,0.6942505617333445,rf_importance,
level,importance,rf_importance_all_top192,192,all,192,0.695852534562212,0.6570158102766798,0.6932755727987144,rf_importance,
level,importance,rf_importance_all_top256,256,all,256,0.7235023041474654,0.6816125365541001,0.7215735278996326,rf_importance,
level,importance,rf_importance_all_top512,512,all,512,0.728110599078341,0.6900588050902948,0.7233816827807898,rf_importance,
level,importance,xgb_importance_all_top64,64,all,64,0.6912442396313364,0.630082819007116,0.6817012994003749,xgb_importance,
level,importance,xgb_importance_all_top96,96,all,96,0.6820276497695853,0.626228279209452,0.6741687722944993,xgb_importance,
level,importance,xgb_importance_all_top128,128,all,128,0.6774193548387096,0.6256208805538287,0.6728943648171003,xgb_importance,
level,importance,xgb_importance_all_top192,192,all,192,0.663594470046083,0.6088532590950491,0.6552117462856901,xgb_importance,
level,importance,xgb_importance_all_top256,256,all,256,0.6866359447004609,0.6408554832001228,0.6813226585055868,xgb_importance,
level,importance,xgb_importance_all_top512,512,all,512,0.7004608294930875,0.6591660939289805,0.6957301534514704,xgb_importance,
level,importance,rf_importance_stat_color_edge_line_top64,64,stat_color_edge_line,64,0.7327188940092166,0.7211860729282332,0.7380707412178695,rf_importance,
level,importance,rf_importance_stat_color_edge_line_top96,96,stat_color_edge_line,96,0.7557603686635944,0.7429552526356832,0.7621110987292512,rf_importance,
level,importance,rf_importance_stat_color_edge_line_top128,128,stat_color_edge_line,128,0.7649769585253456,0.7525727099511074,0.7685719288968057,rf_importance,
level,importance,xgb_importance_stat_color_edge_line_top64,64,stat_color_edge_line,64,0.7327188940092166,0.7185774218154081,0.7375543346444652,xgb_importance,
level,importance,xgb_importance_stat_color_edge_line_top96,96,stat_color_edge_line,96,0.7465437788018433,0.729312891470753,0.7514276757600833,xgb_importance,
level,importance,xgb_importance_stat_color_edge_line_top128,128,stat_color_edge_line,128,0.7649769585253456,0.7526878415300546,0.7693678703633754,xgb_importance,
level,cv_kbest,cv_kbest_f_classif_all_k128,128,all,128,0.6728110599078341,0.6372803071894121,0.6737550822364633,,0.6310579076442863
level,cv_kbest,cv_kbest_mutual_info_all_k512,512,all,512,0.7188940092165899,0.6665560665950643,0.7119447033564389,,0.6132040698545042
level,cv_kbest,cv_kbest_f_classif_stat_color_edge_line_k128,128,stat_color_edge_line,128,0.7649769585253456,0.7495022412583616,0.7694324757003584,,0.6711594348215798
level,cv_kbest,cv_kbest_mutual_info_stat_color_edge_line_k128,128,stat_color_edge_line,128,0.7695852534562212,0.7591974213983783,0.7729602290491316,,0.6658227491077952
