task,candidate,feature_set,selector,n_features,svm_weight,xgb_weight,accuracy,macro_f1,weighted_f1
level,stat_color_edge_raw_svm0.25_xgb0.75,stat_color_edge,raw,131,0.25,0.75,0.7511520737327189,0.7205596212572957,0.7470189059086284
level,stat_color_edge_raw_svm0.40_xgb0.60,stat_color_edge,raw,131,0.4,0.6,0.7649769585253456,0.7331482870717679,0.7610483265977785
level,stat_color_edge_raw_svm0.50_xgb0.50,stat_color_edge,raw,131,0.5,0.5,0.783410138248848,0.7617625592407654,0.7821005399261596
level,stat_color_edge_raw_svm0.60_xgb0.40,stat_color_edge,raw,131,0.6,0.4,0.7880184331797235,0.7666447168877608,0.7882385967266342
level,stat_color_edge_raw_svm0.75_xgb0.25,stat_color_edge,raw,131,0.75,0.25,0.7926267281105991,0.7759086554226224,0.7942335266365871
level,stat_color_edge_f_classif_k96_svm0.25_xgb0.75,stat_color_edge,f_classif_k96,96,0.25,0.75,0.7188940092165899,0.6754897253165373,0.709441900208346
level,stat_color_edge_f_classif_k96_svm0.40_xgb0.60,stat_color_edge,f_classif_k96,96,0.4,0.6,0.7373271889400922,0.7123098150916165,0.734060434459047
level,stat_color_edge_f_classif_k96_svm0.50_xgb0.50,stat_color_edge,f_classif_k96,96,0.5,0.5,0.7373271889400922,0.7146500754147813,0.7352653696714417
level,stat_color_edge_f_classif_k96_svm0.60_xgb0.40,stat_color_edge,f_classif_k96,96,0.6,0.4,0.7465437788018433,0.7217539454806312,0.7439943658877338
level,stat_color_edge_f_classif_k96_svm0.75_xgb0.25,stat_color_edge,f_classif_k96,96,0.75,0.25,0.7649769585253456,0.7483396239333795,0.764716334147745
level,stat_color_edge_f_classif_k128_svm0.25_xgb0.75,stat_color_edge,f_classif_k128,128,0.25,0.75,0.7373271889400922,0.6955804569966603,0.7293837346264854
level,stat_color_edge_f_classif_k128_svm0.40_xgb0.60,stat_color_edge,f_classif_k128,128,0.4,0.6,0.7649769585253456,0.7377846299810247,0.7624065443034653
level,stat_color_edge_f_classif_k128_svm0.50_xgb0.50,stat_color_edge,f_classif_k128,128,0.5,0.5,0.7603686635944701,0.728745608431811,0.7567144814674719
level,stat_color_edge_f_classif_k128_svm0.60_xgb0.40,stat_color_edge,f_classif_k128,128,0.6,0.4,0.7926267281105991,0.7737860936314545,0.7925696565774479
level,stat_color_edge_f_classif_k128_svm0.75_xgb0.25,stat_color_edge,f_classif_k128,128,0.75,0.25,0.7926267281105991,0.7728600327613788,0.7923785234147693
level,stat_color_edge_line_raw_svm0.25_xgb0.75,stat_color_edge_line,raw,140,0.25,0.75,0.7557603686635944,0.7164489404419171,0.7489348740278536
level,stat_color_edge_line_raw_svm0.40_xgb0.60,stat_color_edge_line,raw,140,0.4,0.6,0.7557603686635944,0.7244846656611363,0.7530412661342454
level,stat_color_edge_line_raw_svm0.50_xgb0.50,stat_color_edge_line,raw,140,0.5,0.5,0.7788018433179723,0.7595966386554622,0.7789658831274446
level,stat_color_edge_line_raw_svm0.60_xgb0.40,stat_color_edge_line,raw,140,0.6,0.4,0.7926267281105991,0.772500992796441,0.7934357168486547
level,stat_color_edge_line_raw_svm0.75_xgb0.25,stat_color_edge_line,raw,140,0.75,0.25,0.7880184331797235,0.7698624182933338,0.7887041207381583
level,stat_color_edge_line_f_classif_k96_svm0.25_xgb0.75,stat_color_edge_line,f_classif_k96,96,0.25,0.75,0.7142857142857143,0.6775602730672289,0.7080053917380933
level,stat_color_edge_line_f_classif_k96_svm0.40_xgb0.60,stat_color_edge_line,f_classif_k96,96,0.4,0.6,0.728110599078341,0.7022261725202901,0.7257248308752782
level,stat_color_edge_line_f_classif_k96_svm0.50_xgb0.50,stat_color_edge_line,f_classif_k96,96,0.5,0.5,0.7327188940092166,0.7060290892808239,0.7308521740533852
level,stat_color_edge_line_f_classif_k96_svm0.60_xgb0.40,stat_color_edge_line,f_classif_k96,96,0.6,0.4,0.7373271889400922,0.7109206752860515,0.7348241059123897
level,stat_color_edge_line_f_classif_k96_svm0.75_xgb0.25,stat_color_edge_line,f_classif_k96,96,0.75,0.25,0.7327188940092166,0.7138868422342881,0.7314349860820326
level,stat_color_edge_line_f_classif_k128_svm0.25_xgb0.75,stat_color_edge_line,f_classif_k128,128,0.25,0.75,0.7465437788018433,0.7079686985157934,0.7401671240181632
level,stat_color_edge_line_f_classif_k128_svm0.40_xgb0.60,stat_color_edge_line,f_classif_k128,128,0.4,0.6,0.7741935483870968,0.7496678098971092,0.7717776729126636
level,stat_color_edge_line_f_classif_k128_svm0.50_xgb0.50,stat_color_edge_line,f_classif_k128,128,0.5,0.5,0.783410138248848,0.759289127837515,0.7821102357002462
level,stat_color_edge_line_f_classif_k128_svm0.60_xgb0.40,stat_color_edge_line,f_classif_k128,128,0.6,0.4,0.7926267281105991,0.7742164140633054,0.7930004185903531
level,stat_color_edge_line_f_classif_k128_svm0.75_xgb0.25,stat_color_edge_line,f_classif_k128,128,0.75,0.25,0.7788018433179723,0.761916141467111,0.7796724756209543
level,stat_color_edge_adaptive_raw_svm0.25_xgb0.75,stat_color_edge_adaptive,raw,167,0.25,0.75,0.7465437788018433,0.7105684057271051,0.7387913070863947
level,stat_color_edge_adaptive_raw_svm0.40_xgb0.60,stat_color_edge_adaptive,raw,167,0.4,0.6,0.7603686635944701,0.7251705207582753,0.7543686626106062
level,stat_color_edge_adaptive_raw_svm0.50_xgb0.50,stat_color_edge_adaptive,raw,167,0.5,0.5,0.7741935483870968,0.7372818692694469,0.7684648694180136
level,stat_color_edge_adaptive_raw_svm0.60_xgb0.40,stat_color_edge_adaptive,raw,167,0.6,0.4,0.7788018433179723,0.7455640522457303,0.7745585554648111
level,stat_color_edge_adaptive_raw_svm0.75_xgb0.25,stat_color_edge_adaptive,raw,167,0.75,0.25,0.7695852534562212,0.7377865475304046,0.7655061815661339
level,stat_color_edge_adaptive_f_classif_k96_svm0.25_xgb0.75,stat_color_edge_adaptive,f_classif_k96,96,0.25,0.75,0.6912442396313364,0.6501780128375833,0.6828589936968172
level,stat_color_edge_adaptive_f_classif_k96_svm0.40_xgb0.60,stat_color_edge_adaptive,f_classif_k96,96,0.4,0.6,0.7142857142857143,0.6790841997176229,0.7100630823584106
level,stat_color_edge_adaptive_f_classif_k96_svm0.50_xgb0.50,stat_color_edge_adaptive,f_classif_k96,96,0.5,0.5,0.7235023041474654,0.6926317657497781,0.7202548587457424
level,stat_color_edge_adaptive_f_classif_k96_svm0.60_xgb0.40,stat_color_edge_adaptive,f_classif_k96,96,0.6,0.4,0.7327188940092166,0.7043378064776511,0.7303287008600817
level,stat_color_edge_adaptive_f_classif_k96_svm0.75_xgb0.25,stat_color_edge_adaptive,f_classif_k96,96,0.75,0.25,0.7373271889400922,0.7048668247187655,0.7359877132273904
level,stat_color_edge_adaptive_f_classif_k128_svm0.25_xgb0.75,stat_color_edge_adaptive,f_classif_k128,128,0.25,0.75,0.7327188940092166,0.6983732837758856,0.7259779992298139
level,stat_color_edge_adaptive_f_classif_k128_svm0.40_xgb0.60,stat_color_edge_adaptive,f_classif_k128,128,0.4,0.6,0.7327188940092166,0.7024757393341017,0.7280435188961338
level,stat_color_edge_adaptive_f_classif_k128_svm0.50_xgb0.50,stat_color_edge_adaptive,f_classif_k128,128,0.5,0.5,0.7419354838709677,0.710230006636801,0.7372204113746208
level,stat_color_edge_adaptive_f_classif_k128_svm0.60_xgb0.40,stat_color_edge_adaptive,f_classif_k128,128,0.6,0.4,0.7557603686635944,0.7258882108561899,0.7529543957399439
level,stat_color_edge_adaptive_f_classif_k128_svm0.75_xgb0.25,stat_color_edge_adaptive,f_classif_k128,128,0.75,0.25,0.7557603686635944,0.7235647501516309,0.7530757722517524
level,stat_color_edge_grid_raw_svm0.25_xgb0.75,stat_color_edge_grid,raw,293,0.25,0.75,0.7327188940092166,0.6775125768390793,0.7209640329588634
level,stat_color_edge_grid_raw_svm0.40_xgb0.60,stat_color_edge_grid,raw,293,0.4,0.6,0.7465437788018433,0.701033277262557,0.7392973947513731
level,stat_color_edge_grid_raw_svm0.50_xgb0.50,stat_color_edge_grid,raw,293,0.5,0.5,0.7511520737327189,0.7150928311876767,0.7465760556475372
level,stat_color_edge_grid_raw_svm0.60_xgb0.40,stat_color_edge_grid,raw,293,0.6,0.4,0.7511520737327189,0.720158371040724,0.7480452627701205
level,stat_color_edge_grid_raw_svm0.75_xgb0.25,stat_color_edge_grid,raw,293,0.75,0.25,0.7465437788018433,0.7113184936421826,0.7439160229220312
level,stat_color_edge_grid_f_classif_k96_svm0.25_xgb0.75,stat_color_edge_grid,f_classif_k96,96,0.25,0.75,0.7373271889400922,0.7060551924540419,0.7332195882037161
level,stat_color_edge_grid_f_classif_k96_svm0.40_xgb0.60,stat_color_edge_grid,f_classif_k96,96,0.4,0.6,0.7419354838709677,0.7070028011204481,0.7382514296040998
level,stat_color_edge_grid_f_classif_k96_svm0.50_xgb0.50,stat_color_edge_grid,f_classif_k96,96,0.5,0.5,0.7373271889400922,0.7012466799017342,0.7348677021701259
level,stat_color_edge_grid_f_classif_k96_svm0.60_xgb0.40,stat_color_edge_grid,f_classif_k96,96,0.6,0.4,0.7327188940092166,0.6997619636291929,0.7321811489913839
level,stat_color_edge_grid_f_classif_k96_svm0.75_xgb0.25,stat_color_edge_grid,f_classif_k96,96,0.75,0.25,0.7096774193548387,0.6827682755587134,0.7104448058273659
